id,tweet_id,engagement,effective_length,polarity,subjectivity,average_engagement,common_words,common_ht_words,common_hts
162926902,1176953125162360000,0,250,0.1250,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1176878194751870000,41,107,0.1667,0.3333,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
162926902,1176877613270400000,0,212,0.2000,0.2000,30.82352941,"[('viva', 24), ('air', 24), ('hola', 21)]","[('viva', 3), ('air', 3), ('rosa', 3)]","[('VivaAirRosa', 3), ('MiercolesDeMascotas', 2), ('DiaMundialDeLosAnimales', 1)]"
167435593,1180285440286440000,362,187,0.2714,0.3839,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180281163161750000,53,185,0.0000,0.1583,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180258337138620000,60,205,0.5429,0.4679,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180249664471400000,46,190,0.1929,0.5679,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180242393280460000,13,224,0.0000,0.0000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180228663922640000,107,95,0.0000,0.0000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180221946312770000,19,147,-0.1556,0.2889,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180216689989950000,28,133,1.0000,0.3000,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180214290780970000,1253,202,0.6000,0.9500,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
167435593,1180211974082350000,13,172,0.1929,0.4679,176.3312102,"[('aguila', 111), ('liga', 96), ('fecha', 51)]","[('aguila', 111), ('liga', 95), ('femenina', 28)]","[('LigaAguila', 67), ('LigaAguilaFemenina', 28), ('TorneoAguila', 13)]"
